Section,Lon,Lat,NZE,NZN
North Island,175.131,-41.4,2688184.404,5976553.06
North Island,175.10001,-41.39,2685620.189,5977726.196
North Island,175.073,-41.385,2683374.846,5978335.352
North Island,174.99001,-41.396,2676406.956,5977275.485
North Island,174.927,-41.435,2671042.933,5973063.275
North Island,174.89,-41.427,2667970.36,5974019.229
North Island,174.86501,-41.393,2665962.576,5977839.463
North Island,174.849,-41.343,2664741.507,5983419.77
North Island,174.897,-41.277,2668917.339,5990661.8
North Island,174.851,-41.231,2665172.465,5995851.956
North Island,174.778,-41.276,2658951.731,5990982.57
North Island,174.791,-41.313,2659956.406,5986852.043
North Island,174.827,-41.305,2662988.853,5987677.866
North Island,174.80901,-41.351,2661376.728,5982601.606
North Island,174.778,-41.353,2658777.588,5982432.855
North Island,174.707,-41.362,2652817.594,5981552.139
North Island,174.64101,-41.334,2647355.515,5984767.132
North Island,174.61099,-41.297,2644918.883,5988922.336
North Island,174.653,-41.245,2648546.141,5994630.397
North Island,174.71201,-41.223,2653539.402,5996977.84
North Island,174.75999,-41.166,2657689.205,6003226.678
North Island,174.81799,-41.109,2662687.293,6009455.677
North Island,174.83501,-41.121,2664088.603,6008093.488
North Island,174.87,-41.108,2667057.256,6009474.591
North Island,174.882,-41.091,2668105.598,6011340.417
North Island,174.836,-41.062,2664309.266,6014642.316
North Island,174.908,-41.026,2670446.948,6018509.681
North Island,174.94299,-40.991,2673475.164,6022330.717
North Island,174.981,-40.924,2676840.986,6029697.365
North Island,175.005,-40.883,2678966.147,6034203.088
North Island,175.07001,-40.824,2684598.473,6040625.562
North Island,175.11501,-40.775,2688524.595,6045974.56
North Island,175.13,-40.731,2689908.248,6050828.38
North Island,175.166,-40.664,2693131.923,6058191.437
North Island,175.18201,-40.591,2694686.654,6066261.252
North Island,175.198,-40.513,2696256.415,6074885.638
North Island,175.21201,-40.448,2697624.948,6082070.783
North Island,175.226,-40.365,2699044.579,6091253.518
North Island,175.24001,-40.299,2700420.66,6098548.881
North Island,175.214,-40.237,2698383.429,6105486.363
North Island,175.19,-40.16,2696554.72,6114083.745
North Island,175.15199,-40.096,2693491.644,6121266.961
North Island,175.11099,-40.053,2690111.421,6126124.189
North Island,175.062,-40.006,2686055.276,6131439.834
North Island,175.009,-39.958,2681653.406,6136872.081
North Island,174.967,-39.943,2678103.347,6138618.103
North Island,174.888,-39.894,2671471.158,6144204.821
North Island,174.819,-39.868,2665631.862,6147215.247
North Island,174.737,-39.873,2658607.487,6146802.562
North Island,174.664,-39.851,2652410.638,6149365.719
North Island,174.556,-39.822,2643228.176,6152754.788
North Island,174.489,-39.769,2637593.941,6158737.738
North Island,174.45599,-39.761,2634781.19,6159673.474
North Island,174.37801,-39.692,2628221.959,6167441.207
North Island,174.323,-39.647,2623580.56,6172509.552
North Island,174.248,-39.62,2617187.68,6175601.98
North Island,174.177,-39.59,2611137.731,6179017.488
North Island,174.112,-39.584,2605563.615,6179757.503
