"","x"
"713",7041873
"714",7042031
"715",7042354
"716",7042373
"717",7042043
"718",7042204
"719",7042480
"720",7042595
"721",7042815
"722",7042900
"723",7042993
"724",7043070
"725",7043162
"726",7043197
"727",7045488
"728",7045509
"729",7045732
"730",7045736
"731",7046163
"732",7046164
"733",7046074
"734",7046079
"735",7045469
"736",7045568
"737",7046021
"738",7046026
"739",7041922
"740",7042088
"741",7042346
"742",7042355
"743",7041890
"744",7042050
"745",7042693
"746",7042713
"747",7043037
"748",7043052
"749",7043061
"750",7043080
"751",7043275
"752",7043276
"753",7043198
"754",7043208
"755",7045449
"756",7045470
"757",7045757
"758",7045762
"759",7046258
"760",7046266
"761",7046111
"762",7046127
"763",7045628
"764",7045636
"765",7041953
"766",7042014
"767",7042147
"768",7042328
"769",7041803
"770",7041891
"771",7042439
"772",7042448
"773",7042703
"774",7042737
"775",7043034
"776",7043062
"777",7043268
"778",7043269
"779",7045591
"780",7045600
"781",7045918
"782",7045933
"783",7045858
"784",7045883
"785",7046271
"786",7046485
"787",7045598
"788",7045637
"789",7045891
"790",7045892
"791",7041908
"792",7041952
"793",7042025
"794",7042033
"795",7041767
"796",7041808
"797",7042620
"798",7042779
"799",7042994
"800",7043277
"801",7043602
"802",7043610
"803",7043354
"804",7043364
"805",7045789
"806",7045815
"807",7046054
"808",7046057
"809",7046512
"810",7046513
"811",7045569
"812",7045599
"813",7041923
"814",7042026
"815",7041776
"816",7041909
"817",7041532
"818",7041874
"819",7041915
"820",7041971
"821",7042760
"822",7042816
"823",7043001
"824",7043023
"825",7043642
"826",7043648
"827",7043388
"828",7043428
"829",7043405
"830",7043406
"831",7046096
"832",7046112
"833",7046597
"834",7046598
"835",7046617
"836",7046622
"837",7045735
"838",7045756
"839",7041785
"840",7041802
"841",7042063
"842",7042078
"843",7041388
"844",7041643
"845",7041597
"846",7041642
"847",7041232
"848",7041540
"849",7042051
"850",7042052
"851",7042796
"852",7042826
"853",7043773
"854",7043774
"855",7043625
"856",7043684
"857",7046395
"858",7046396
"859",7046687
"860",7046692
"861",7046615
"862",7046616
"863",7046618
"864",7046623
"865",7046740
"866",7046756
"867",7041751
"868",7041786
"869",7041499
"870",7041677
"871",7041460
"872",7041474
"873",7041598
"874",7041641
"875",7041120
"876",7041233
"877",7041500
"878",7041580
"879",7042124
"880",7042125
"881",7042761
"882",7042817
"883",7042995
"884",7043038
"885",7043842
"886",7043849
"887",7043609
"888",7043737
"889",7043707
"890",7043708
"891",7046599
"892",7046600
"893",7046351
"894",7046408
"895",7041678
"896",7041715
"897",7041511
"898",7041622
"899",7041427
"900",7041441
"901",7041323
"902",7041547
"903",7040905
"904",7041126
"905",7041335
"906",7041346
"907",7041434
"908",7041501
"909",7041613
"910",7041614
"911",7042174
"912",7042175
"913",7042965
"914",7042980
"915",7043063
"916",7043097
"917",7046272
"918",7046352
"919",7041531
"920",7041669
"921",7041661
"922",7041716
"923",7041267
"924",7041510
"925",7041415
"926",7041579
"927",7041089
"928",7041127
"929",7041313
"930",7041392
"931",7041557
"932",7041581
"933",7041403
"934",7041435
"935",7041972
"936",7041991
"937",7042278
"938",7042600
"939",7042279
"940",7042296
"941",7043175
"942",7043214
"943",7046141
"944",7046273
"945",7046409
"946",7046410
"947",7041344
"948",7041491
"949",7041181
"950",7041324
"951",7041035
"952",7041090
